Rank,Gender,Caste,College_Branch
36360,F,BC_D,ADITYA ENGINEERING COLLEGE - CIV
36567,M,BC_D,ADITYA ENGINEERING COLLEGE - ECE
36795,F,BC_A,ADITYA ENGINEERING COLLEGE - CIV
36852,F,BC_B,ADITYA ENGINEERING COLLEGE - CIV
39090,M,BC_E,ADITYA ENGINEERING COLLEGE - ECE
39102,M,OC,ADITYA ENGINEERING COLLEGE - ECE
39595,F,BC_C,ADITYA ENGINEERING COLLEGE - CSD
41239,F,ST,ADITYA ENGINEERING COLLEGE - CSD
42355,F,BC_D,ADITYA ENGINEERING COLLEGE - CSD
42739,M,SC,ADITYA ENGINEERING COLLEGE - ECE
44484,F,BC_E,ADITYA ENGINEERING COLLEGE - CSD
44741,M,BC_B,ADITYA ENGINEERING COLLEGE - ECE
44903,M,BC_A,ADITYA ENGINEERING COLLEGE - ECE
46093,F,SC,ADITYA ENGINEERING COLLEGE - CSD
46818,F,OC,ADITYA ENGINEERING COLLEGE - CSD
47518,F,BC_A,ADITYA ENGINEERING COLLEGE - CSD
47713,F,BC_B,ADITYA ENGINEERING COLLEGE - CSD
57806,M,BC_A,ADITYA ENGINEERING COLLEGE - EEE
66638,M,BC_E,ADITYA ENGINEERING COLLEGE - EEE
68063,M,ST,ADITYA ENGINEERING COLLEGE - EEE
70371,M,SC,ADITYA ENGINEERING COLLEGE - EEE
70446,M,BC_B,ADITYA ENGINEERING COLLEGE - EEE
